"employee_id","first_name","last_name","email","phone_number","hire_date","salary","commission_pct","department_id"
1,"Name1","Surname1","1@gmail.com","111.111.111","2003-05-01","4523.00","0.54",50
2,"Name2","Surname2","2@gmail.com","222.222.222","2008-03-01","3999.00","0.00",80
3,"Name3","Surname3","3@gmail.com","333.333.333","2010-11-01","8542.00","0.00",50
4,"Name4","Surname4","4@gmail.com","444.444.444","2003-03-01","8000.00","0.50",50
5,"Name5","Surname5","5@gmail.com","555.555.555","2003-07-01","4136.00","0.41",80
6,"Name6","Surname6","6@gmail.com","666.666.666","2003-01-01","2741.00","0.00",80
7,"Name7","Surname7","7@gmail.com","777.777.777","2008-02-01","9000.00","0.00",50
8,"Name8","Surname8","8@gmail.com","888.888.888","2009-02-02","8671.00","0.57",50
9,"Name9","Surname9","9@gmail.com","999.999.999","2016-08-07","10514.00","0.00",50
10,"Name10","Surname10","10@gmail.com","101010.101010.101010","2003-02-01","4812.00","0.74",80
